Time (s),Device ID,Source Cell ID,Destination Cell ID
261s,46,13,13
261s,54,4,4
262s,54,7,7
262s,73,18,18
262s,84,7,7
263s,68,11,11
264s,49,17,17
264s,68,17,17
264s,80,1,1
264s,84,11,11
265s,80,4,4
266s,16,19,19
266s,31,16,16
266s,49,16,16
266s,80,1,1
266s,84,7,7
267s,16,8,8
267s,33,9,9
267s,91,1,1
268s,31,8,8
269s,84,11,11
270s,17,17,17
270s,33,8,8
270s,91,7,7
271s,49,17,17
271s,73,14,14
273s,17,2,2
273s,26,12,12
273s,54,1,1
273s,86,3,3
275s,5,5,5
275s,6,17,17
275s,13,3,3
275s,49,16,16
275s,54,7,7
276s,47,2,2
276s,73,18,18
277s,68,12,12
278s,96,18,18
279s,5,14,14
279s,13,12,12
279s,47,17,17
279s,68,11,11
280s,31,16,16
280s,73,10,10
282s,5,5,5
282s,7,17,17
282s,26,16,16
282s,47,2,2
283s,88,15,15
284s,7,12,12
285s,35,1,1
285s,60,11,11
285s,93,10,10
286s,0,13,13
286s,7,17,17
286s,26,12,12
286s,81,1,1
286s,86,13,13
287s,54,1,1
287s,84,7,7
288s,54,7,7
288s,86,3,3
290s,25,10,10
291s,60,3,3
291s,73,14,14
292s,19,14,14
292s,31,8,8
293s,73,10,10
293s,96,17,17
294s,96,18,18
295s,57,3,3
296s,19,19,19
296s,73,14,14
296s,84,11,11
298s,57,1,1
298s,60,11,11
298s,79,17,17
299s,2,18,18
299s,44,15,15
299s,47,6,6
300s,26,16,16
300s,35,4,4
300s,89,3,3
302s,44,14,14
302s,60,3,3
302s,69,5,5
302s,79,2,2
303s,16,19,19
303s,20,10,10
303s,79,17,17
304s,37,1,1
304s,47,2,2
305s,26,12,12
305s,44,15,15
305s,47,6,6
305s,88,9,9
306s,31,16,16
307s,0,12,12
307s,25,18,18
308s,16,8,8
308s,47,2,2
309s,5,14,14
309s,16,19,19
309s,19,14,14
310s,86,13,13
311s,26,16,16
312s,37,3,3
312s,54,1,1
313s,37,1,1
314s,2,14,14
314s,68,12,12
314s,86,3,3
315s,21,1,1
316s,68,11,11
316s,88,15,15
317s,54,7,7
317s,68,12,12
317s,76,16,16
318s,86,13,13
319s,32,13,13
321s,9,2,2
321s,76,12,12
322s,6,18,18
322s,9,6,6
323s,9,2,2
323s,93,11,11
324s,9,6,6
324s,10,5,5
324s,21,6,6
324s,44,14,14
324s,68,11,11
325s,88,9,9
325s,99,7,7
326s,88,16,16
327s,53,10,10
328s,44,15,15
329s,25,10,10
329s,44,10,10
330s,2,18,18
330s,44,15,15
330s,68,12,12
331s,6,17,17
331s,37,3,3
331s,46,12,12
332s,32,8,8
332s,46,13,13
332s,65,1,1
333s,47,6,6
333s,57,5,5
333s,89,13,13
334s,6,18,18
334s,65,7,7
335s,65,1,1
338s,6,17,17
338s,47,17,17
338s,51,13,13
339s,47,6,6
